ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,mx_ut,my_ut,mz_ut,dt_s
0.790090,-0.268150,-9.725250,0.389887,-0.251402,-0.829841,39.059000,115.566000,-161.969000,0.010000
0.809240,-0.239420,-9.461890,0.409062,-0.230097,-0.798948,39.059000,115.566000,-161.969000,0.010000
0.713470,-0.148440,-9.533710,0.402670,-0.260990,-0.759534,39.059000,115.566000,-161.969000,0.010000
0.809240,-0.253790,-9.346960,0.373908,-0.197074,-0.752077,39.059000,115.566000,-161.969000,0.010000
0.823610,-0.124500,-9.188950,0.312122,-0.184291,-0.711597,39.059000,115.566000,-161.969000,0.010000
0.780510,-0.028730,-9.088390,0.230097,-0.164051,-0.638093,39.059000,115.566000,-161.969000,0.010000
0.785300,-0.138860,-9.275140,0.170442,-0.092678,-0.601874,39.059000,115.566000,-161.969000,0.010000
0.871490,-0.143650,-9.165000,0.164051,-0.047937,-0.582700,39.059000,115.566000,-161.969000,0.010000
0.890640,-0.177170,-9.050080,0.168312,-0.080960,-0.542220,42.609000,111.992000,-163.109000,0.010000
0.909800,-0.172380,-9.141060,0.184291,-0.091613,-0.523045,42.609000,111.992000,-163.109000,0.010000
0.957680,-0.225050,-9.083600,0.187487,-0.106526,-0.516653,42.609000,111.992000,-163.109000,0.010000
1.072600,-0.320820,-9.097970,0.210922,-0.154463,-0.531567,42.609000,111.992000,-163.109000,0.010000
0.933740,-1.015140,-5.468360,0.626375,-0.710531,-0.529436,42.609000,111.992000,-163.109000,0.010000
1.374270,-0.507570,-11.118670,0.346211,-0.131028,-0.521980,42.609000,111.992000,-163.109000,0.010000
0.981620,-0.344770,-9.102750,0.363255,-0.045806,-0.593352,42.609000,111.992000,-163.109000,0.010000
1.168370,-0.320820,-9.538500,0.405866,-0.031958,-0.599744,42.609000,111.992000,-163.109000,0.010000
1.163580,-0.430960,-9.217680,0.418649,-0.061785,-0.629571,42.609000,111.992000,-163.109000,0.010000
1.139640,-0.354340,-9.155430,0.435693,-0.040480,-0.651942,42.609000,111.992000,-163.109000,0.010000
1.225830,-0.344770,-9.131480,0.458064,-0.059655,-0.667921,42.609000,111.992000,-163.109000,0.010000
1.163580,-0.282520,-9.447520,0.430367,-0.067112,-0.651942,42.609000,111.992000,-163.109000,0.010000
1.072600,-0.167590,-9.466670,0.387756,-0.064981,-0.639159,42.609000,111.992000,-163.109000,0.010000
1.096540,-0.306460,-9.093180,0.389887,-0.121440,-0.645550,40.242000,109.609000,-164.250000,0.010000
1.101330,0.196320,-9.911990,0.322775,-0.083091,-0.615723,40.242000,109.609000,-164.250000,0.010000
1.134850,0.004790,-9.303870,0.256729,-0.070307,-0.581634,40.242000,109.609000,-164.250000,0.010000
1.120490,-0.158020,-8.877700,0.266316,0.015979,-0.599744,40.242000,109.609000,-164.250000,0.010000
1.216250,-0.081400,-9.016560,0.300405,0.073503,-0.624245,40.242000,109.609000,-164.250000,0.010000
1.206680,-0.311250,-8.987830,0.313188,0.093743,-0.654072,40.242000,109.609000,-164.250000,0.010000
1.029510,-0.014370,-9.069240,0.307861,0.099070,-0.653007,40.242000,109.609000,-164.250000,0.010000
1.053450,-0.220270,-9.500190,0.166181,0.191748,-0.649811,40.242000,109.609000,-164.250000,0.010000
0.981620,-0.019150,-9.399640,0.123571,0.127832,-0.642354,40.242000,109.609000,-164.250000,0.010000
1.125270,-0.239420,-9.337390,0.126766,0.053263,-0.609331,40.242000,109.609000,-164.250000,0.010000
0.770930,-0.014370,-7.393290,0.252468,-0.150202,-0.563525,40.242000,109.609000,-164.250000,0.010000
1.158790,-0.129290,-11.319790,0.145941,0.107592,-0.563525,40.242000,109.609000,-164.250000,0.010000
0.943320,0.004790,-9.615110,0.265251,0.062851,-0.563525,40.242000,109.609000,-163.109000,0.010000
0.933740,-0.014370,-10.084380,0.286556,0.087352,-0.537959,40.242000,109.609000,-163.109000,0.010000
